Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
강원특별자치도,2024,여자,11.8,28.0,48.8,9.5,1.9,39.8,11.4,3.3829999999999996,16.2
충청북도,2020,Total,12.4,28.1,46.8,10.4,2.4,40.5,12.8,3.3799999999999994,27.1
충청북도,2021,Total,11.0,24.5,46.2,14.8,3.4,35.5,18.2,3.2460000000000004,31.8
충청북도,2022,Total,11.4,31.2,43.2,11.6,2.6,42.6,14.2,3.3720000000000003,29.0
충청북도,2023,Total,13.5,31.8,39.9,11.6,3.2,45.3,14.8,3.4079999999999995,33.3
충청북도,2024,Total,13.0,27.7,47.0,10.0,2.2,40.7,12.2,3.39,31.8
충청북도,2020,남자,13.1,27.8,47.4,9.9,1.7,40.9,11.6,3.404,38.5
충청북도,2021,남자,11.4,24.9,46.5,13.5,3.7,36.3,17.2,3.2680000000000002,44.5
충청북도,2022,남자,11.5,30.2,44.0,11.6,2.6,41.7,14.2,3.361,38.3
충청북도,2023,남자,13.3,30.8,41.1,11.2,3.6,44.1,14.799999999999999,3.39,45.3
충청북도,2024,남자,12.4,28.1,47.2,10.0,2.3,40.5,12.3,3.383,46.7
충청북도,2020,여자,11.6,28.3,46.1,10.9,3.1,39.9,14.0,3.3440000000000003,15.4
충청북도,2021,여자,10.6,24.1,46.0,16.3,3.1,34.7,19.400000000000002,3.2310000000000003,18.7
충청북도,2022,여자,11.3,32.1,42.4,11.6,2.5,43.400000000000006,14.1,3.378,19.4
충청북도,2023,여자,13.6,32.8,38.8,12.1,2.7,46.4,14.8,3.4249999999999994,20.8
충청북도,2024,여자,13.6,27.4,46.9,10.1,2.1,41.0,12.2,3.4059999999999997,16.4
충청남도,2020,Total,12.1,24.7,52.8,8.9,1.4,36.8,10.3,3.3689999999999998,34.7
충청남도,2021,Total,12.4,27.8,41.7,15.3,2.8,40.2,18.1,3.3170000000000006,32.2
충청남도,2022,Total,15.2,32.3,43.1,7.7,1.7,47.5,9.4,3.5159999999999996,33.2
충청남도,2023,Total,15.1,30.0,43.3,9.4,2.3,45.1,11.7,3.465,36.5
충청남도,2024,Total,16.3,30.7,46.7,4.9,1.3,47.0,6.2,3.5550000000000006,34.8
충청남도,2020,남자,13.2,24.4,51.0,9.8,1.7,37.599999999999994,11.5,3.3790000000000004,47.9
충청남도,2021,남자,14.0,28.7,39.4,14.7,3.2,42.7,17.9,3.356,45.0
충청남도,2022,남자,16.1,30.7,43.9,7.6,1.7,46.8,9.299999999999999,3.5189999999999997,48.3
충청남도,2023,남자,17.0,29.2,43.1,8.3,2.3,46.2,10.600000000000001,3.5000000000000004,50.0
충청남도,2024,남자,17.2,31.2,44.5,5.2,1.8,48.4,7.0,3.565,51.1
충청남도,2020,여자,11.1,25.0,54.8,8.0,1.1,36.1,9.1,3.37,21.0
충청남도,2021,여자,10.8,26.8,44.1,15.9,2.4,37.6,18.3,3.2769999999999997,18.8
충청남도,2022,여자,14.4,33.9,42.3,7.8,1.7,48.3,9.5,3.5180000000000002,17.3
충청남도,2023,여자,13.0,30.8,43.4,10.5,2.2,43.8,12.7,3.4159999999999995,22.2
충청남도,2024,여자,15.3,30.3,49.1,4.6,0.7,45.6,5.3,3.549,17.6
전북특별자치도,2020,Total,12.4,28.7,46.6,10.3,2.0,41.1,12.3,3.3920000000000003,27.8
전북특별자치도,2021,Total,10.5,27.7,42.9,15.7,3.2,38.2,18.9,3.2659999999999996,28.5
전북특별자치도,2022,Total,11.0,32.8,43.5,10.1,2.5,43.8,12.6,3.3939999999999997,26.1
전북특별자치도,2023,Total,11.8,35.3,37.5,11.4,3.9,47.099999999999994,15.3,3.3939999999999997,25.6
전북특별자치도,2024,Total,10.6,34.2,41.0,11.1,3.0,44.800000000000004,14.1,3.38,32.3
전북특별자치도,2020,남자,13.9,27.9,44.5,11.4,2.4,41.8,13.8,3.398,41.7
전북특별자치도,2021,남자,10.5,28.8,41.5,14.9,4.3,39.3,19.2,3.263,42.5
전북특별자치도,2022,남자,11.0,33.4,43.0,9.1,3.5,44.4,12.6,3.3930000000000002,38.5
전북특별자치도,2023,남자,12.6,35.0,36.7,11.7,4.0,47.6,15.7,3.405,37.4
전북특별자치도,2024,남자,10.3,34.4,40.9,11.2,3.3,44.7,14.5,3.3749999999999996,45.7
전북특별자치도,2020,여자,11.0,29.5,48.8,9.2,1.6,40.5,10.799999999999999,3.3939999999999997,14.0
전북특별자치도,2021,여자,10.5,26.6,44.2,16.5,2.2,37.1,18.7,3.267,14.6
전북특별자치도,2022,여자,11.1,32.3,44.1,11.1,1.4,43.4,12.5,3.4059999999999997,13.8
전북특별자치도,2023,여자,11.1,35.7,38.2,11.1,3.9,46.800000000000004,15.0,3.39,13.8
전북특별자치도,2024,여자,11.0,34.1,41.2,11.0,2.8,45.1,13.8,3.398,19.0
전라남도,2020,Total,14.2,26.7,49.3,8.2,1.5,40.9,9.7,3.4359999999999995,28.5
전라남도,2021,Total,11.6,25.9,44.3,14.6,3.5,37.5,18.1,3.272,30.2
전라남도,2022,Total,12.2,32.5,41.6,11.4,2.3,44.7,13.7,3.4090000000000003,26.6
